START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/09/21,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/09/21,07/09/21,04:20 PM,05:20 PM,FALSE,TRUE,07/09/21,12:20 PM,01:20 PM,FREE,BUSY
07/10/21,06:15 PM,07:15 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: FOX ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/10/21,07/10/21,09:15 PM,10:15 PM,FALSE,TRUE,07/10/21,05:15 PM,06:15 PM,FREE,BUSY
07/23/21,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/23/21,07/23/21,04:20 PM,05:20 PM,FALSE,TRUE,07/23/21,12:20 PM,01:20 PM,FREE,BUSY
07/24/21,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/24/21,07/24/21,04:20 PM,05:20 PM,FALSE,TRUE,07/24/21,12:20 PM,01:20 PM,FREE,BUSY
07/25/21,01:20 PM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/25/21,07/25/21,04:20 PM,05:20 PM,FALSE,TRUE,07/25/21,12:20 PM,01:20 PM,FREE,BUSY
07/26/21,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/26/21,07/26/21,10:05 PM,11:05 PM,FALSE,TRUE,07/26/21,06:05 PM,07:05 PM,FREE,BUSY
07/27/21,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/27/21,07/27/21,10:05 PM,11:05 PM,FALSE,TRUE,07/27/21,06:05 PM,07:05 PM,FREE,BUSY
07/28/21,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/28/21,07/28/21,10:05 PM,11:05 PM,FALSE,TRUE,07/28/21,06:05 PM,07:05 PM,FREE,BUSY
07/29/21,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",07/29/21,07/29/21,04:20 PM,05:20 PM,FALSE,TRUE,07/29/21,12:20 PM,01:20 PM,FREE,BUSY
08/06/21,01:20 PM,02:20 PM,White Sox at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/06/21,08/06/21,04:20 PM,05:20 PM,FALSE,TRUE,08/06/21,12:20 PM,01:20 PM,FREE,BUSY
08/07/21,01:20 PM,02:20 PM,White Sox at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/07/21,08/07/21,04:20 PM,05:20 PM,FALSE,TRUE,08/07/21,12:20 PM,01:20 PM,FREE,BUSY
08/08/21,06:09 PM,07:09 PM,White Sox at Cubs,Wrigley Field - Chicago,"Local TV: ABC ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/08/21,08/08/21,09:09 PM,10:09 PM,FALSE,TRUE,08/08/21,05:09 PM,06:09 PM,FREE,BUSY
08/10/21,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/10/21,08/10/21,04:20 PM,05:20 PM,FALSE,TRUE,08/10/21,12:20 PM,01:20 PM,FREE,BUSY
08/10/21,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/10/21,08/10/21,10:05 PM,11:05 PM,FALSE,TRUE,08/10/21,06:05 PM,07:05 PM,FREE,BUSY
08/11/21,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/11/21,08/11/21,10:05 PM,11:05 PM,FALSE,TRUE,08/11/21,06:05 PM,07:05 PM,FREE,BUSY
08/12/21,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/12/21,08/12/21,04:20 PM,05:20 PM,FALSE,TRUE,08/12/21,12:20 PM,01:20 PM,FREE,BUSY
08/20/21,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/20/21,08/20/21,04:20 PM,05:20 PM,FALSE,TRUE,08/20/21,12:20 PM,01:20 PM,FREE,BUSY
08/21/21,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/21/21,08/21/21,04:20 PM,05:20 PM,FALSE,TRUE,08/21/21,12:20 PM,01:20 PM,FREE,BUSY
08/22/21,01:20 PM,02:20 PM,Royals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/22/21,08/22/21,04:20 PM,05:20 PM,FALSE,TRUE,08/22/21,12:20 PM,01:20 PM,FREE,BUSY
08/23/21,07:05 PM,08:05 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/23/21,08/23/21,10:05 PM,11:05 PM,FALSE,TRUE,08/23/21,06:05 PM,07:05 PM,FREE,BUSY
08/25/21,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/25/21,08/25/21,04:20 PM,05:20 PM,FALSE,TRUE,08/25/21,12:20 PM,01:20 PM,FREE,BUSY
08/25/21,05:30 PM,06:30 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",08/25/21,08/25/21,08:30 PM,09:30 PM,FALSE,TRUE,08/25/21,04:30 PM,05:30 PM,FREE,BUSY
09/02/21,07:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/02/21,09/02/21,10:05 PM,11:05 PM,FALSE,TRUE,09/02/21,06:05 PM,07:05 PM,FREE,BUSY
09/03/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/03/21,09/03/21,04:20 PM,05:20 PM,FALSE,TRUE,09/03/21,12:20 PM,01:20 PM,FREE,BUSY
09/04/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/04/21,09/04/21,04:20 PM,05:20 PM,FALSE,TRUE,09/04/21,12:20 PM,01:20 PM,FREE,BUSY
09/05/21,01:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/05/21,09/05/21,04:20 PM,05:20 PM,FALSE,TRUE,09/05/21,12:20 PM,01:20 PM,FREE,BUSY
09/06/21,01:20 PM,02:20 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/06/21,09/06/21,04:20 PM,05:20 PM,FALSE,TRUE,09/06/21,12:20 PM,01:20 PM,FREE,BUSY
